wireworld
60,40
1:0,10
1:01,10
1:02,10
1:03,10
1:04,10
1:05,10
1:06,10
1:07,10
1:08,10
1:09,10
1:10,10
1:11,10
1:12,10
1:13,10
1:14,10
1:15,10
1:16,10
1:17,10
1:18,10
1:19,10
1:20,10
1:21,10
1:22,10
1:23,10
1:24,10
1:25,10
1:26,10
1:27,10
1:28,10
1:29,10
1:30,10
1:31,11
1:30,12
1:31,12
1:32,12
1:33,12
1:30,13
1:33,13
1:30,14
1:31,14
1:32,14
1:33,14
1:31,15
1:34,13
1:35,13
1:36,13
1:37,13
1:38,13
1:39,13
1:40,13
1:41,13
1:42,13
1:43,13
1:44,13
1:45,13
1:46,13
1:47,13
1:48,13
1:49,13
1:50,13
1:51,12
1:52,12
1:53,11
1:54,10
1:55,10
1:56,10
1:57,10
1:58,10
1:59,10
1:51,14
1:52,14
1:53,15
1:54,16
1:55,16
1:56,16
1:57,16
1:58,16
1:59,16
1:05,16
1:06,16
1:07,16
1:08,16
1:09,16
1:10,16
1:11,16
1:12,16
1:13,16
1:14,16
1:15,16
1:16,16
1:17,16
1:18,16
1:19,16
1:20,16
1:21,16
1:22,16
1:23,16
1:24,16
1:25,16
1:26,16
1:27,16
1:28,16
1:29,16
1:30,16
3:20,10
2:19,10
3:20,16
2:19,16
3:14,16
2:13,16
3:08,10
2:07,10
